DATE,PRECIP,PET,FLOW_cumecs
30/01/1964,1.089648189,0.468705696,1.14
31/01/1964,0.936076335,0.503868599,1.13
01/02/1964,0.020723078,0.555710352,1.11
02/02/1964,0.022893911,0.541114704,1.1
03/02/1964,0.413173189,0.556703257,1.09
04/02/1964,0.721399443,0.483949948,1.11
05/02/1964,0.010869215,0.420435687,1.08
06/02/1964,0.001160071,0.351674658,1.07
07/02/1964,0.001359149,0.387296928,1.07
08/02/1964,0,0.458153138,1.07
09/02/1964,0.008405882,0.464831792,1.03
10/02/1964,0.000346229,0.506393933,1.05
11/02/1964,0.003730385,0.562670047,1.04
12/02/1964,0.000600792,0.581770084,1.04
13/02/1964,0.585836166,0.551640935,1.03
14/02/1964,0.509420423,0.53660221,1.03
15/02/1964,4.833193141,0.564650602,1.04
16/02/1964,3.199476634,0.472734906,1.04
17/02/1964,0.552539138,0.486612801,1.03
18/02/1964,0.61877537,0.490587267,0.997
19/02/1964,0.00481012,0.489139468,0.977
20/02/1964,0.001689131,0.477350635,0.977
21/02/1964,0.002249172,0.479704298,0.968
22/02/1964,5.01081009,0.606007382,0.977
23/02/1964,5.866702037,0.683943599,0.991
24/02/1964,2.909958422,0.854849307,1.03
25/02/1964,0.02107467,0.840492424,0.991
26/02/1964,0.926117231,0.846233758,0.954
27/02/1964,2.390407385,0.909890964,0.946
28/02/1964,0.734927389,0.889990796,0.963
29/02/1964,0.039878237,0.79548797,0.932
01/03/1964,0.004003394,0.796945879,0.915
02/03/1964,0.012395666,0.683522577,0.915
03/03/1964,0.305265779,0.700074477,0.915
04/03/1964,0.088953285,0.66798969,0.915
05/03/1964,0.022942569,0.700807707,0.917
06/03/1964,0.158402639,0.681513447,0.917
07/03/1964,0.055125365,0.628784169,0.934
08/03/1964,0.001117049,0.693194085,0.937
09/03/1964,0,0.771033473,0.929
10/03/1964,0,0.805556513,0.923
11/03/1964,0.000567563,0.860657446,0.923
12/03/1964,2.736797836,0.87105954,0.926
13/03/1964,10.67623934,1.08529893,0.949
14/03/1964,16.84439274,1.090578021,1.14
15/03/1964,5.718377345,0.854603885,1.19
16/03/1964,1.404382613,0.742432562,1.13
17/03/1964,3.577432609,0.766707021,1.11
18/03/1964,8.570841304,0.838557064,1.14
19/03/1964,6.868314104,1.004814333,1.41
20/03/1964,4.146569002,1.117107957,1.48
21/03/1964,0.358255783,1.212984288,1.53
22/03/1964,3.451638828,1.201793355,1.64
23/03/1964,10.79878182,1.220081897,1.76
24/03/1964,10.21123177,1.289892309,2.05
25/03/1964,0.004610861,1.227666046,2.13
26/03/1964,0,1.133517478,2.15
27/03/1964,0.000138895,1.039260964,2.24
28/03/1964,0.004554194,1.113891195,2.32
29/03/1964,0.018083825,1.06656916,2.34
30/03/1964,0.002334076,1.040309228,2.33
31/03/1964,0.000697232,1.04477465,2.33
01/04/1964,0.07204413,1.081775493,2.33
02/04/1964,0.001628133,1.062574764,2.27
03/04/1964,2.484251532,1.090140219,2.23
04/04/1964,2.074452262,1.106962246,2.19
05/04/1964,0.00091881,1.275971446,2.1
06/04/1964,0.000216138,1.243977364,2.03
07/04/1964,0,1.328865464,1.95
08/04/1964,0,1.417216788,1.9
09/04/1964,0.000902112,1.440660913,1.84
10/04/1964,0.000306832,1.575381301,1.81
11/04/1964,0.748951032,1.434613027,1.76
12/04/1964,0.131087732,1.679867811,1.74
13/04/1964,0.413068692,1.624315245,1.7
14/04/1964,0.132551686,1.613428838,1.67
15/04/1964,12.1907513,1.602784453,1.72
16/04/1964,5.917280509,1.842731765,1.71
17/04/1964,0.003720627,1.891165207,1.68
18/04/1964,2.05239024,1.788162221,1.66
19/04/1964,5.403346674,1.719314969,1.65
20/04/1964,6.765146801,1.707104963,1.63
21/04/1964,7.8357271,1.675039724,1.63
22/04/1964,0.259896549,1.845550458,1.62
23/04/1964,3.606616112,1.820156754,1.55
24/04/1964,0.050711418,1.828076455,1.49
25/04/1964,1.538142418,1.887985337,1.48
26/04/1964,0.030031941,2.154305977,1.48
27/04/1964,5.549565486,2.206257487,1.47
28/04/1964,2.266980914,2.081748856,1.46
29/04/1964,2.243183446,2.002003549,1.46
30/04/1964,0.484450154,1.906751813,1.42
01/05/1964,4.086079798,1.915743721,1.42
02/05/1964,3.714365778,2.051616558,1.4
03/05/1964,0.730529389,2.190184232,1.38
04/05/1964,0.374918817,2.110238642,1.37
05/05/1964,0.017196352,2.060087297,1.34
06/05/1964,0.925400333,2.034622128,1.33
07/05/1964,1.805633229,2.306642158,1.3
08/05/1964,0.007787595,2.11937796,1.26
09/05/1964,0.748669152,2.146058724,1.24
10/05/1964,0.047161464,2.182550594,1.22
11/05/1964,0.002325231,2.412878272,1.21
12/05/1964,0.449510879,2.506510739,1.21
13/05/1964,0.30711699,2.314753061,1.21
14/05/1964,0,2.156579919,1.23
15/05/1964,0,2.17126355,1.23
16/05/1964,0,2.440971378,1.19
17/05/1964,0.009978854,2.583785662,1.16
18/05/1964,1.58953429,2.691374846,1.14
19/05/1964,0.626839018,2.48908633,1.12
20/05/1964,0.005477039,2.267929557,1.09
